2025-04-24 00:14:27,539 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:27,548 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:27,551 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 7
2025-04-24 00:14:27,568 - INFO - Found: https://google.com/favicon.ico - Status: 200
2025-04-24 00:14:27,578 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 5
2025-04-24 00:14:27,591 - INFO - Found: https://google.com/doubleclick - Status: 200
2025-04-24 00:14:27,672 - INFO - Found: https://google.com/chat - Status: 200
2025-04-24 00:14:27,675 - INFO - Found: https://google.com/calendar - Status: 200
2025-04-24 00:14:27,978 - INFO - Found: https://google.com/education - Status: 200
2025-04-24 00:14:28,038 - INFO - Found: https://google.com/edu - Status: 200
2025-04-24 00:14:28,073 - INFO - Found: https://google.com/cse - Status: 200
2025-04-24 00:14:28,098 - INFO - Found: https://google.com/firefox - Status: 200
2025-04-24 00:14:28,126 - INFO - Found: https://google.com/fotos - Status: 200
2025-04-24 00:14:28,140 - INFO - Found: https://google.com/domains - Status: 200
2025-04-24 00:14:28,187 - INFO - Found: https://google.com/dashboard - Status: 200
2025-04-24 00:14:28,196 - INFO - Found: https://google.com/contacts - Status: 200
2025-04-24 00:14:28,242 - INFO - Found: https://google.com/friends - Status: 200
2025-04-24 00:14:28,487 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:28,495 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:28,496 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:28,498 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:28,499 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:28,500 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:28,501 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:28,509 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:28,509 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:28,509 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:28,512 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:28,536 - INFO - Found: https://google.com/grants - Status: 200
2025-04-24 00:14:28,638 - INFO - Found: https://google.com/humans.txt - Status: 200
2025-04-24 00:14:28,652 - INFO - Found: https://google.com/hosted - Status: 200
2025-04-24 00:14:28,800 - INFO - Found: https://google.com/ie - Status: 200
2025-04-24 00:14:28,805 - INFO - Found: https://google.com/design - Status: 200
2025-04-24 00:14:28,870 - INFO - Found: https://google.com/ebooks - Status: 200
2025-04-24 00:14:28,956 - INFO - Found: https://google.com/docs - Status: 200
2025-04-24 00:14:28,959 - INFO - Found: https://google.com/hire - Status: 200
2025-04-24 00:14:28,974 - INFO - Found: https://google.com/images - Status: 200
2025-04-24 00:14:28,995 - INFO - Found: https://google.com/ig - Status: 200
2025-04-24 00:14:29,009 - INFO - Found: https://google.com/index.html - Status: 200
2025-04-24 00:14:29,113 - INFO - Found: https://google.com/health - Status: 200
2025-04-24 00:14:29,120 - INFO - Found: https://google.com/developer - Status: 200
2025-04-24 00:14:29,130 - INFO - Found: https://google.com/devices - Status: 200
2025-04-24 00:14:29,138 - INFO - Found: https://google.com/flights - Status: 200
2025-04-24 00:14:29,207 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,212 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,215 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,216 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:29,226 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,227 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,231 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,233 - INFO - Found: https://google.com/enterprise - Status: 200
2025-04-24 00:14:29,234 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,242 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,242 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,250 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,250 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,252 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:29,258 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,260 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:29,261 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:29,261 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:29,292 - INFO - Found: https://google.com/ideas - Status: 200
2025-04-24 00:14:29,317 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,337 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,337 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:29,354 - INFO - Found: https://google.com/careers - Status: 200
2025-04-24 00:14:29,371 - INFO - Found: https://google.com/finance - Status: 200
2025-04-24 00:14:29,400 - INFO - Found: https://google.com/africa - Status: 200
2025-04-24 00:14:29,404 - INFO - Found: https://google.com/home - Status: 200
2025-04-24 00:14:29,459 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:29,501 - INFO - Found: https://google.com/history - Status: 200
2025-04-24 00:14:29,508 - INFO - Found: https://google.com/games - Status: 200
2025-04-24 00:14:29,519 - INFO - Found: https://google.com/device - Status: 200
2025-04-24 00:14:29,690 - INFO - Found: https://google.com/inbox - Status: 200
2025-04-24 00:14:29,794 - INFO - Found: https://google.com/keep - Status: 200
2025-04-24 00:14:29,934 - INFO - Found: https://google.com/green - Status: 200
2025-04-24 00:14:29,966 - INFO - Found: https://google.com/jobs - Status: 200
2025-04-24 00:14:30,135 - INFO - Found: https://google.com/jigsaw - Status: 200
2025-04-24 00:14:30,139 - INFO - Found: https://google.com/blogger - Status: 200
2025-04-24 00:14:30,143 - INFO - Found: https://google.com/forms - Status: 200
2025-04-24 00:14:30,452 - INFO - Found: https://google.com/answers - Status: 200
2025-04-24 00:14:30,503 - INFO - Found: https://google.com/jump - Status: 200
2025-04-24 00:14:30,508 - INFO - Found: https://google.com/developers - Status: 200
2025-04-24 00:14:30,581 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,582 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,583 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,585 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,585 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,586 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,587 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,589 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,590 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,593 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:30,614 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,615 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,617 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,620 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,622 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
